Title,Author,Lector,Book_Score,Number_of_ratings_book,Lector_Score,Number_of_ratings_lector,Duration,Original_Category,Format,Language,Publication_Date,Volume_Info,Gender,Category
Kolor nie z tej planety,H. P. Lovecraft,Robert Michalak,4.3,1080.0,4.6,997.0,1.38,"Fantastyka, Horrory, Sci-fi",Audiobook,Polski,2021-12-20,Nie dotyczy,M,fantastyka
Operacja Mir,Remigiusz Mróz,zespół lektorów,4.4,1045.0,4.7,997.0,10.75,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-01-24,Tom 2 - Projekt Riese,G,kryminały
Tron z czaszek. Księga 1,Peter V. Brett,Filip Kosior,4.7,1010.0,4.9,991.0,13.12,Fantastyka,Audiobook,Polski,2015-06-26,Tom 8 - Trylogia demonów,M,fantastyka
7 procent Ro Devereux,Ellen O'Clover,Katarzyna Domalewska,3.6,102.0,4.4,99.0,8.12,"Dla młodzieży, Dla młodzieży w wieku 14+",Audiobook,Polski,2024-01-24,Nie dotyczy,F,dla młodzieży
Tylko żywi mogą umrzeć,D. B. Foryś,Magdalena Zając – Zawadzka,4.1,137.0,4.4,99.0,11.65,Fantastyka,Audiobook,Polski,2019-12-13,Tom 1 - Tessa Brown,F,fantastyka
W gąszczu kłamstw,Kate Alice Marshall,Jagoda Małyszek,4.3,102.0,4.6,99.0,11.77,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-03-13,Nie dotyczy,F,kryminały
Labirynt von Brauna,Rafał Dębski,Marcin Popczyński,4.5,103.0,4.7,99.0,7.85,"Kryminały, Powieści kryminalne",Audiobook,Polski,2023-08-23,Tom 1 - Cykl o Komisarzu Wrońskim,M,kryminały
Kameleon,Marek Stelar,Mateusz Drozda,4.5,102.0,4.6,99.0,6.88,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-05-15,Nie dotyczy,M,kryminały
Sklepik przeciwzmarszczkowy,Eva Swedenmark,Masza Bogucka,3.8,111.0,4.4,99.0,4.05,Powieści,Audiobook,Polski,2022-02-18,"Tom 1 - Nikt nie ma wszystkiego, każdy ma coś",F,powieści
Syn zakonnicy,Joanna Jax,Elżbieta Kijowska,4.4,98.0,4.6,99.0,13.77,Powieści,Audiobook,Polski,2019-02-26,Nie dotyczy,F,powieści
Druga szansa,Kylie Scott,Anna Szymańczyk,4.3,103.0,4.3,99.0,7.52,Romans,Audiobook,Polski,2022-03-30,Nie dotyczy,F,romans
Piętno Midasa,Agnieszka Lingas-Łoniewska,Paweł Paprocki,4.7,100.0,4.7,99.0,8.58,Romans,Audiobook,Polski,2022-10-25,Nie dotyczy,M,romans
"Nicolas. Bezlitosna siła, t. 6",Agnieszka Lingas-Łoniewska,Ewa Abart,4.7,105.0,4.8,99.0,5.73,Romans,Audiobook,Polski,2022-07-08,Tom 6 - Bezlitosna siła,F,romans
Hajmdal. Tom 2. Księżyce Monarchy,Dariusz Domagalski,Wojciech Masiak,4.6,100.0,4.9,99.0,10.03,Sci-fi,Audiobook,Polski,2019-09-03,Tom 2 - Hajmdal,M,sci-fi
Hajmdal. Tom 3. Bunt,Dariusz Domagalski,Wojciech Masiak,4.7,102.0,4.9,99.0,9.42,Sci-fi,Audiobook,Polski,2019-11-19,Tom 3 - Hajmdal,M,sci-fi
Stary człowiek i morze,Ernest Hemingway,Krzysztof Gosztyła,4.3,1005.0,4.8,988.0,3.47,Klasyka,Audiobook,Polski,2022-05-16,Nie dotyczy,M,klasyka
Weźmisz czarno kure...,Andrzej Pilipiuk,Grzegorz Pawlak,4.8,1000.0,4.9,980.0,9.42,brak,"Audiobook, E-book",,2011-04-21,Tom 3 - Kroniki Jakuba Wędrowycza,M,brak
Pięciopsiaczki,Wanda Chotomska,Wanda Chotomska,4.7,100.0,4.7,98.0,1.23,"Dla dzieci, Dla dzieci w wieku 6+, Dla dzieci w wieku 9+",Audiobook,Polski,2021-10-15,Nie dotyczy,F,dla dzieci
Tajemniczy ogród,Frances Hodgson Burnett,Robert Michalak,4.6,99.0,4.8,98.0,7.95,"Dla dzieci, Dla dzieci w wieku 9+, Klasyka dla dzieci, Bajki i baśnie, Książki o miłości i przyjaźni dla dzieci",Audiobook,Polski,2023-06-02,Nie dotyczy,M,dla dzieci
Wina,Max Czornyj,Leszek Filipowicz,4.2,106.0,4.3,98.0,6.82,"Kryminały, Powieści kryminalne",Audiobook,Polski,2023-07-12,Tom 4 - Liza Langer i Orest Rembert,M,kryminały
Śledztwo od kuchni,Karolina Morawiecka,Donata Cieślik,4.3,100.0,4.6,98.0,9.65,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2019-03-12,Tom 1 - Karolina Morawiecka (wdowa po aptekarzu),F,kryminały
Agathe,Anne Bomann,Dragun,3.7,108.0,4.5,98.0,2.97,Powieści,Audiobook,Polski,2022-10-12,Nie dotyczy,M,powieści
Talizman złotego smoka,Iwona Surmik,Aleksandra Justa,4.5,105.0,4.3,98.0,12.35,"Powieści, Fantastyka",Audiobook,Polski,2021-03-22,Nie dotyczy,F,powieści
Skradzione dziecko,Diney Costeloe,Masza Bogucka,4.5,99.0,4.6,98.0,8.68,"Powieści, Powieści historyczne",Audiobook,Polski,2022-08-24,Nie dotyczy,F,powieści
Śląski Kopciuszek,Gabriela Anna Kańtor,Andrzej Hausner,4.6,103.0,4.7,98.0,5.78,"Powieści, Powieści obyczajowe",Audiobook,Polski,2020-12-29,Tom 1 - Joanna Gryzik,M,powieści
Nad Niemnem,Eliza Orzeszkowa,Lena Schimscheiner,4.6,102.0,4.5,98.0,23.15,"Powieści, Powieści obyczajowe, Klasyka",Audiobook,Polski,2020-04-21,Nie dotyczy,F,powieści
Kilka godzin do szczęścia,Roma J. Fiszer,Paulina Holtz,4.4,101.0,4.7,98.0,15.05,"Powieści, Romans",Audiobook,Polski,2022-07-06,Tom 1 - Do szczęścia,F,powieści
Otchłań. Księga 1,Peter V. Brett,Filip Kosior,4.7,1011.0,4.9,978.0,18.02,Fantastyka,Audiobook,Polski,2018-01-31,Tom 10 - Trylogia demonów,M,fantastyka
Moja rodzina na piętrze,Magda Louis,Elżbieta Kijowska,4.6,1057.0,4.8,977.0,18.78,Powieści,Audiobook,Polski,2022-03-04,Tom 1 - Moja rodzina na piętrze,F,powieści
Sztuka czułości,"Joanna Podsadecka, Łukasz Chmielowski, Marcin Kobierski","Dorota Bochenek, Anna Kończal-Bochenek",4.8,101.0,4.7,97.0,4.08,"Biografie, Autobiografie",Audiobook,Polski,2023-07-27,Nie dotyczy,G,biografie
Elżbieta Tudor. Kobieta na tronie,Michał Gadziński,Filip Kosior,4.3,99.0,4.8,97.0,1.2,"Biografie, Biografie polityczne i społeczne, Biografie monarchów, Literatura faktu, Społeczeństwo i kultura, Historia",Audiobook,Polski,2024-10-24,Nie dotyczy,M,biografie
Księga Całości. Tom 5. Pani Dobrego Znaku. Wieczny pokój,Feliks W. Kres,Wojciech Żołądkowicz,4.6,101.0,4.9,97.0,12.37,Fantastyka,Audiobook,Polski,2021-12-09,Tom 5 - Księga Całości,M,fantastyka
"Kłamstwa, którymi oddycham",Katarzyna Misiołek,Agnieszka Baranowska,4.2,101.0,4.5,97.0,8.72,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-06-27,Nie dotyczy,F,kryminały
Nasza dziewczynka,Georgina Cross,Karolina Kostoń,4.4,123.0,4.4,97.0,9.72,"Kryminały, Thrillery",Audiobook,Polski,2022-09-28,Nie dotyczy,F,kryminały
Uwikłana,Alicja Sinicka,Anna Szawiel,4.3,102.0,4.5,97.0,8.98,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2021-11-27,Nie dotyczy,F,kryminały
Darwin. Niedoszły pastor,S. Szary,Filip Kosior,4.6,101.0,4.9,97.0,1.03,"Literatura faktu, Przyroda i nauka",Audiobook,Polski,2021-12-09,Tom 7 - #Osobowości,M,literatura faktu
Niemka,Wojciech Dutka,Joanna Domańska,4.7,98.0,4.7,97.0,10.93,Powieści,Audiobook,Polski,2024-05-22,Nie dotyczy,F,powieści
Dzwonnik z Notre Dame,Victor Hugo,Janusz Zadura,4.3,98.0,4.8,97.0,22.98,"Powieści, Kryminały",Audiobook,Polski,2023-03-29,Nie dotyczy,M,powieści
Efesto,Aga Kalicka,Jarosław Rodzaj,4.4,103.0,4.4,97.0,11.52,"Powieści, Powieści współczesne, Kryminały, Thrillery, Powieści kryminalne, Romans",Audiobook,Polski,2021-05-19,Tom 1 - Mano d'onore,M,powieści
Smak deszczu,Małgorzata Wachowicz,Monika Chrzanowska,4.2,116.0,4.3,97.0,6.27,Romans,Audiobook,Polski,2021-08-19,Nie dotyczy,F,romans
Zielona Gwiazdka,Krystyna Mirek,Kamilla Baar,4.3,98.0,4.5,97.0,7.25,Romans,Audiobook,Polski,2023-11-22,Nie dotyczy,F,romans
Szukaj mnie wśród lawendy. Zofia Tom II,Agnieszka Lingas-Łoniewska,Agnieszka Postrzygacz,4.7,99.0,4.8,97.0,4.58,Romans,Audiobook,Polski,2022-09-29,Tom 2 - Szukaj mnie wśród lawendy,F,romans
Grzeczna dziewczynka,Tomasz Wandzel,Kaja Walden,4.3,110.0,4.5,97.0,6.43,"Romans, Romans sensacyjny",Audiobook,Polski,2021-04-20,Nie dotyczy,F,romans
Jesteś dla mnie wszystkim,Beata Majewska,Milena Staszuk,4.4,98.0,4.5,97.0,9.22,"Romans, Romans sensacyjny",Audiobook,Polski,2021-08-10,Nie dotyczy,F,romans
